product_index,product_name,product_url,reviewer,rating,date,verified,title,body,helpful_votes,variant,image_count
1,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",https://www.amazon.com/dp/B0BTYCRJSS?th=1,From NJ,5,"Reviewed in the United States on April 17, 2026",Verified Purchase,Awesome ear set -- can't be beat at this price point,"Outstanding! For the low price (~$20), this is an amazing ear set. I have been using Apple Airpods and then SamSung Buds for the past 6 years. As expected, this set does not have all the features like Apple's or Samsung's, but having used this set for several months, now I am wondering if I ever really needed those features (for a price of $150-200!). Great sound, long battery, light but solid build quality, coupled with no fear of losing! The only thing is that when I drop it on the floor, it opens up. Each pod is made of two pieces, which separate as it hits the floor. After having to click them back together several times, I added superglue before click them back on both sides. Now they don't open up. Definitely recommend this set.",9 people found this helpful,Color: Blue,0
1,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",https://www.amazon.com/dp/B0BTYCRJSS?th=1,jack,5,"Reviewed in the United States on April 17, 2026",Verified Purchase,best buds for the price. look no further.,"I never write reviews, but I have to for this product. Just as most have said, these are AWESOME. I have had nothing but bad experiences with other wireless earbuds so I stayed away from them. But as my over the ear headphones of 8 years stopped working, I had to buy new headphones so I decided to give them another chance. I kept hearing good things about Soundcore so I trusted the reviews and they live up to the hype completely. The audio quality of course isn't the best, but it's clear enough, loud enough, and has enough fidelity not just for the pricepoint, but in my honest opinion exceeds it. But the most important thing of all, connectivity. That is the number one factor when looking for wireless earbuds. Many earbuds have decent quality, but if they don't stay connected, who cares. These always stay connected. Previous earbuds, the right would connect but not the left. This is because with other earbuds the right is the primary connected device, while the left is connected to the right bud. With these, it seems both buds are connected simultaneously. Also, these aren't just good for music and movies, even in games they don't lose their synchronicity. Only one problem, when I tried playing a PC game and watching a movie at the same time, the buds did cause significant lag and input delays in my game, but that is totally forgiveable. When the buds are dedicated just t your game and not to another app they work very decently. Most wireless earbuds I tried in the past always had this problem of synchronizing to games. I am absolutely blown away at the quality of these for the price. The biggest downside I have heard is they only last about a year before they stop being functional. But still, for only $20 these are unbeatable if you're on a budget. I recommend the a20i over the p20i as the bass is a little too loud, but you can easily fix this by downloading the soundcore app and choosing the ""reduce bass"" EQ setting. Also, these are bluetooth only. They don't utilize a USB dongle. So if you have an older laptop or desktop that doesn't have bluetooth, you will need to purchase either a bluetooth dongle or a bluetooth/wifi PCI-E card for your desktop.",6 people found this helpful,Color: Black,0
1,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",https://www.amazon.com/dp/B0BTYCRJSS?th=1,Brian D Luna,5,"Reviewed in the United States on April 17, 2026",Verified Purchase,"Incredible, beats Gen 1 Airpods at $20 on sale. Great Bang-4-Buck!","Anker makes really good stuff all the time. For a really good price no less. They are a real bang-for-buck type company in the best way meaning possible. These earbuds are genuinely very impressive. I’d say they are most definitely better than Airpod gen 1’s. The cups are excellent and cut off any outside noise. The bass is very smooth for this price point, the vocals are clear, maybe the treble is a little overpowered by the bass, but besides the bigger charging case and slightly bigger appearance and fit, these are superior to gen 1 airpods for sure and for $20 on sale you literally cannot beat this with any other option. The charge hold time is excellent too and the case charges fast.",4 people found this helpful,Color: Black,0
1,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",https://www.amazon.com/dp/B0BTYCRJSS?th=1,Suwarna,4,"Reviewed in the United States on March 26, 2026",Verified Purchase,One of the Worlds BEST Earpods,"I bought two of these, They Worked Great but after around 9 months they lose their spark and for me the bluetooth isnt working anymore, And also The magnet loses its strenght and when dropped the earbuds fly out, Other than that they are AWESOME, they fit well, they sound better than 99% of the earpods, they are around the same size as a airpod, And they have touch contols! If you are looking for a Budget Earpod without Noise cancellation, You should pick These, they will last you around 9 -12 months if used daily👍",8 people found this helpful,Color: Black,1
1,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",https://www.amazon.com/dp/B0BTYCRJSS?th=1,Lenin Goud,5,"Reviewed in the United States on April 6, 2026",Verified Purchase,Great sound and battery life for the price,"These earbuds are impressive for the price. The sound quality is clear with strong bass, thanks to the 10mm drivers, and they work well for music, videos, and calls. The app with EQ presets is a nice bonus—you can easily customize the sound to your preference.",4 people found this helpful,Color: Black,0
1,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",https://www.amazon.com/dp/B0BTYCRJSS?th=1,Severina,5,"Reviewed in the United States on February 22, 2026",Verified Purchase,These earbuds went through my washer twice and still work! Amazing!,These earbuds get a true 5 stars for multiple reasons.,43 people found this helpful,Color: Pink,0
1,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",https://www.amazon.com/dp/B0BTYCRJSS?th=1,Ruby Elizondo,5,"Reviewed in the United States on April 24, 2026",Verified Purchase,These headphones don’t have location only sound so if they die it won’t play anything,These earbuds are really good the sound quality doesn’t sound cheap at all and the noise cancellation is really good and can’t hear anything with both earbuds on and they are crisp and really good the battery life is also really great I tested the battery life on the earbuds without the case full charge it lasted the whole night intell close to afternoon and the case too lasted days by one charge and I also dropped these in water it also been in rain and they are perfect the control are really easy and can customize them in the app it feels cheap but they are really tuff wean it comes to drops and for 19 dollars they are worth it probably better then any cheap headphones I have ever used,N/A,Color: Black,0
1,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",https://www.amazon.com/dp/B0BTYCRJSS?th=1,Laura Carpenter,3,"Reviewed in the United States on March 30, 2026",Verified Purchase,They’re fine but not my favorite.,"I gave these ear pods three stars because I really haven’t had big issues with them - they are just a basic, mediocre set of ear buds in my opinion. I bought these to use until I can afford new AirPods. They are fine, but there are definitely things I dislike about them. The sound quality is just ok, and sometimes it’ll do this thing where the sound goes in and out. That doesn’t happen often, thankfully. Also, they do not stop playing the audio if you take them out of your ears and don’t put them right in the case.",11 people found this helpful,Color: Black,0
1,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",https://www.amazon.com/dp/B0BTYCRJSS?th=1,Tfletch22222,5,"Reviewed in Australia on March 11, 2026",Verified Purchase,Incredible for the price,"Excellent product. Great sound. Easy to connect, great battery life, not a massively long range connection (although my other earbuds are Bose so can't really compete) so you need to stay near your phone, in saying that... They're still well worth it for the price. This is my second pair as I like having multiples as I use them so much. So obviously it shows they're great.",N/A,Color: Blue,0
1,"Soundcore by Anker P20i True Wireless Earbuds, 10mm Drivers with Big Bass, Bluetooth 5.3, 30H Long Playtime, Water-Resistant, 2 Mics for AI Clear Calls, 22 Preset EQs, Customization via App",https://www.amazon.com/dp/B0BTYCRJSS?th=1,Rinky Nakwal,5,"Reviewed in India on August 5, 2025",Verified Purchase,Banger earbuds !!,Excellent quality sound with advance dedicated mobile app.... Its very impressive,N/A,Color: Black,0
